Origins\Classes | Altruist | Arcanist      | Behemoth | Bruiser     | Duelist  | Exalted | Invoker        | Reaper  | Sage    | Sniper   | Trickshot | Warden  
Dragonlord      | Rakan    |               |          |             | Lee Sin  |         | Janna          |         | Diana   |          | Xayah     |         
Dryad           |          |               | Ornn     | Rek'Sai     |          |         | Azir           | Kindred |         |          |           | Gnar    
Fated           |          | Ahri/Syndra   | Thresh   |             | Yasuo    |         |                | Kindred |         | Aphelios |           | Sett    
Fortune         |          | Zoe           |          | Kobuko      | Tristana |         | Annie          |         |         |          | Teemo     |         
Ghostly         |          | Illaoi        | Shen     | Aatrox      |          |         |                | Kayn    | Morgana | Caitlyn  |           | Illaoi  
Heavenly        | Soraka   | Neeko         | Malphite |             | Qiyana   |         |                | Kha'Zix | Wukong  |          |           |         
Inkshadow       |          |               | Udyr     | Aatrox      | Volibear |         |                |         |         | Senna    | Kai'Sa    | Jax     
Mythic          |          | Neeko         | Cho'Gath | Tahm Kench  |          |         | Kog'Maw/Lillia |         |         | Kog'Maw  | Bard      | Nautilus
Porcelain       |          | Lissandra/Lux |          |             |          |         |                |         |         | Ashe     |           | Amumu   
Storyweaver     | Riven    | Zoe           |          | Galio/Riven | Irelia   |         |                |         | Zyra    |          | Sivir     | Garen   
Umbral          |          |               | Yorick   | Sylas       | Darius   |         | Alune          | Yone    |         |          |           | Sett    
