Origins\Classes | Bastion | Blaster  | Hunter      | Incantor   | Mage        | Multistriker | Preserver | Scholar  | Shapeshifter | Vanguard    | Warrior 
Arcana          | Hecarim |          |             |            |             | Hecarim      |           | Ahri     |              | Tahm Kench  |         
Chrono          |         |          |             | Karma      | Vex         | Camille/Jax  | Zilean    |          |              |             |         
Dragon          |         | Smolder  | Nomsy       |            |             |              |           |          | Shyvana      |             |         
Eldritch        |         |          |             | Syndra     | Nami        | Ashe         |           |          | Briar/Elise  | Mordekaiser | Nilah   
Faerie          | Lillia  | Tristana |             |            | Seraphine   | Kalista      | Rakan     | Milio    |              |             | Katarina
Frost           | Diana   | Hwei     | Olaf/Twitch |            |             |              | Zilean    |          | Swain        | Warwick     |         
Honeymancy      | Nunu    |          | Kog'Maw     | Ziggs      | Veigar      |              |           |          |              | Blitzcrank  |         
Portal          | Taric   | Ezreal   |             |            | Galio/Norra | Kassadin     |           | Ryze/Zoe | Jayce        | Galio       |         
Pyro            | Shen    | Varus    |             |            |             | Akali        |           |          | Nasus        |             | Akali   
Sugarcraft      |         | Rumble   | Jinx        |            | Soraka      |              | Bard      | Bard     |              | Rumble      | Gwen    
Witchcraft      | Poppy   |          |             | Cassiopeia |             |              | Morgana   | Zoe      | Neeko        |             | Fiora   
