Origins\Classes | Blademaster     | Blaster | Brawler    | Demolitionist | Infiltrator | Mana-Reaver | Mystic     | Protector      | Sniper  | Sorcerer        | Vanguard   
Astro           |                 |         | Gnar       |               |             |             | Bard       |                | Teemo   |                 | Nautilus   
Battlecast      |                 | KogMaw  | Illaoi     |               | Nocturne    |             | Cassiopeia | Urgot          |         | Viktor          |            
Celestial       | Xayah           |         |            |               |             |             | Lulu       | Rakan/Xin Zhao | Ashe    |                 |            
Chrono          | Riven/Shen      | Ezreal  | Blitzcrank |               |             | Thresh      |            |                | Caitlyn | TwistedFate     | Wukong     
Cybernetic      | Fiora/Irelia    | Lucian  | Vi         |               | Ekko        | Irelia      |            |                | Vayne   |                 | Leona      
Dark Star       |                 |         |            |               | Shaco       |             | Karma      | Jarvan IV      | Jhin    | Xerath          | Mordekaiser
Mech-Pilot      |                 |         |            | Rumble        | Fizz        |             |            |                |         | Annie           |            
Rebel           | Master Yi/Yasuo | Jinx    | Malphite   | Ziggs         | Zed         |             |            |                |         |                 |            
Space Pirate    |                 | Graves  |            | Gangplank     |             | Darius      |            |                |         |                 | Jayce      
Star Guardian   |                 |         |            |               |             |             | Soraka     | Neeko          |         | Ahri/Syndra/Zoe | Poppy      
