Origins\Classes | Arcanist    | Assassin    | Bodyguard    | Bruiser          | Challenger | Colossus | Enchanter | Innovator    | Protector  | Scholar      | Sniper      | Twinshot 
Academy         | Lux         | Katarina    | Leona        |                  | Yone       |          |           |              | Garen      | Yuumi        |             | Graves   
Chemtech        | Viktor      | Twitch      |              | DrMundo/Zac      | Warwick    |          |           | Singed       |            | Lissandra    |             | Urgot    
Clockwork       |             |             |              |                  | Camille    |          | Orianna   | Zilean       |            |              | Jhin        |          
Enforcer        |             |             |              | Vi               | Fiora      |          |           | Jayce        |            |              | Caitlyn     |          
Imperial        | Swain       | Talon       |              |                  | Samira     | Sion     |           |              | Sion       |              |             |          
Mercenary       |             |             |              | Illaoi/TahmKench | Quinn      |          |           |              |            |              | MissFortune | Gangplank
Mutant          | Malzahar    |             |              | ChoGath/DrMundo  | KaiSa      | ChoGath  |           |              | Kassadin   |              | KogMaw      | KogMaw   
Scrap           | Ziggs       | Ekko        | Blitzcrank   | Trundle          |            |          | Janna     | Ezreal       | Blitzcrank | Janna        |             | Jinx     
Sister          |             |             |              | Vi               |            |          |           |              |            |              |             | Jinx     
Socialite       |             |             | Galio        |                  |            | Galio    | Taric     | Seraphine    |            |              |             |          
Syndicate       | TwistedFate | Akali/Shaco | Braum/Darius |                  |            |          |           |              |            | Zyra         |             |          
Yordle          | Vex/Ziggs   |             | Poppy        |                  |            |          | Lulu      | Heimerdinger |            | Heimerdinger | Tristana    |          
