Origins\Classes | Ace          | Aegis   | Brawler            | Defender     | Duelist      | Hacker  | Heart    | Mascot   | Parallel        | Prankster | Quickdraw    | Renegade | Spellslinger | Sureshot             
A.D.M.I.N.      |              |         | Blitzcrank/Warwick |              |              | LeBlanc |          |          |                 |           |              | Camille  | LeBlanc      |                      
Anima Squad     | Miss Fortune |         | Riven              | Riven        | Vayne        |         |          | Nasus    |                 | Jinx      | Miss Fortune | Sylas    |              |                      
Gadgeteen       |              |         |                    | Poppy        |              |         | Lulu     | Nunu     |                 | Gnar      |              |          | Annie        |                      
InfiniTeam      |              |         |                    | Shen         | Twisted Fate | Shen    | Pantheon |          | Ultimate Ezreal |           | Lucian       | Lucian   | Twisted Fate | Sivir/Ultimate Ezreal
LaserCorps      | Mordekaiser  |         | Renekton/Warwick   |              | Yasuo        |         |          |          |                 |           |              |          |              | Ashe                 
Mecha: PRIME    | Draven       | Leona   | Jax                | Garen/Wukong |              |         |          |          |                 |           |              | Leona    |              |                      
Ox Force        |              | Alistar |                    |              | Fiora        |         | Viego    | Alistar  |                 |           |              | Viego    | Annie        |                      
Riftwalker      |              |         |                    |              |              | Pyke    |          | Vex      |                 |           |              | Jhin     |              |                      
Star Guardian   |              | Ekko    |                    | Rell         | Nilah        |         | Syndra   |          |                 | Ekko      | Kai'Sa       |          | Lux/Neeko    |                      
Supers          |              |         | Lee Sin            |              | Gangplank    |         | Lee Sin  | Malphite |                 |           |              |          |              |                      
Underground     | Samira       | Vi      | Vi                 |              | Kayle        |         | Sona     |          | Ezreal          |           | Ezreal       |          | Sona         | Samira               
