Origins\Classes | Bastion  | Bruiser  | Challenger   | Deadeye  | Gunner    | Invoker    | Juggernaut | Multicaster | Rogue    | Slayer | Sorcerer         | Strategist
Demacia         | Poppy    |          |              |          |           | Galio      | Garen      | Sona        |          | Kayle  | Lux              | Jarvan IV 
Freljord        |          | Sejuani  |              | Ashe     |           | Lissandra  |            |             |          |        |                  |           
Ionia           | Shen     |          | Irelia/Yasuo | Jhin     |           | Karma/Shen | Sett       |             | Zed      | Zed    | Ahri             |           
Noxus           |          | Sion     | Samira       |          |           | Cassiopeia | Darius     |             | Katarina | Kled   | Swain            | Swain     
Piltover        |          | Vi       |              |          | Jayce     |            |            |             | Ekko     |        | Orianna          |           
Shadow Isles    | Maokai   |          | Kalista      |          | Senna     |            |            |             | Viego    | Gwen   |                  |           
Shurima         | K'Sante  | Renekton |              | Akshan   |           | Cassiopeia | Nasus      | Taliyah     |          |        |                  | Azir      
Targon          | Taric    |          |              | Aphelios |           | Soraka     |            |             |          |        | Taric            |           
Void            | Kassadin | Cho'Gath | Kai'Sa       |          |           |            |            | Vel'Koz     |          |        | Malzahar/Vel'Koz |           
Yordle          | Poppy    |          |              |          | Tristana  |            |            | Teemo       |          | Kled   |                  | Teemo     
Zaun            |          |          | Warwick      | Urgot    | Jinx/Zeri |            | Warwick    |             | Ekko     |        |                  |           
