C1\C2   | sword     | bow         | vest          | cloak            | rod               | tear          | belt           | glove          | spatula           | pan              
sword   | LordsEdge | GiantSlayer | GuardianAngel | Bloodthirster    | HextechGunblade   | SpearofShojin | SteraksGage    | InfinityEdge   | StrategistEmblem  | MarksmanEmblem   
bow     |           | RedBuffItem | TitansResolve | RunaansHurricane | GuinsoosRageblade | VoidStaff     | NashorsTooth   | LastWhisper    | DivinicorpEmblem  | RapidfireEmblem  
vest    |           |             | BrambleVest   | IronWill         | Crownguard        | Fimbulwinter  | SunfireCape    | SteadfastHeart | BoomBotsEmblem    | BastionEmblem    
cloak   |           |             |               | DragonsClaw      | IonicSpark        | AdaptiveHelm  | Evenshroud     | Quicksilver    | SyndicateEmblem   | SlayerEmblem     
rod     |           |             |               |                  | RabadonsDeathcap  | LudensEcho    | Morellonomicon | ArcaneGauntlet | StreetDemonEmblem | TechieEmblem     
tear    |           |             |               |                  |                   | BlueSentinel  | Redemption     | HandofJustice  | AnimaSquadEmblem  | DynamoEmblem     
belt    |           |             |               |                  |                   |               | WarmogsArmor   | Guardbreaker   | GoldenOxEmblem    | BruiserEmblem    
glove   |           |             |               |                  |                   |               |                | ThiefsGloves   | ExotechEmblem     | ExecutionerEmblem
spatula |           |             |               |                  |                   |               |                |                |                   |                  
pan     |           |             |               |                  |                   |               |                |                |                   |                  
