C1\C2   | sword        | bow            | vest             | cloak               | rod                  | tear             | belt              | glove             | spatula                 | pan                 
sword   | PBELordsEdge | PBEGiantSlayer | PBEGuardianAngel | PBEBloodthirster    | PBEHextechGunblade   | PBESpearofShojin | PBESteraksGage    | PBEInfinityEdge   | PBESoulFighterEmblem    | PBEEdgelordEmblem   
bow     |              | PBERedBuffItem | PBETitansResolve | PBERunaansHurricane | PBEGuinsoosRageblade | PBEVoidStaff     | PBENashorsTooth   | PBELastWhisper    | PBESupremeCellsEmblem   | PBEDuelistEmblem    
vest    |              |                | PBEBrambleVest   | PBEIronWill         | PBECrownguard        | PBEFimbulwinter  | PBESunfireCape    | PBESteadfastHeart | PBEWraithEmblem         | PBEBastionEmblem    
cloak   |              |                |                  | PBEDragonsClaw      | PBEIonicSpark        | PBEAdaptiveHelm  | PBEEvenshroud     | PBEQuicksilver    | PBEStrategistEmblem     | PBEJuggernautEmblem 
rod     |              |                |                  |                     | PBERabadonsDeathcap  | PBELudensEcho    | PBEMorellonomicon | PBEArcaneGauntlet | PBEStarGuardianEmblem   | PBESorcererEmblem   
tear    |              |                |                  |                     |                      | PBEBlueSentinel  | PBERedemption     | PBEHandofJustice  | PBEBattleAcademiaEmblem | PBEProdigyEmblem    
belt    |              |                |                  |                     |                      |                  | PBEWarmogsArmor   | PBEGuardbreaker   | PBECrystalGambitEmblem  | PBEHeavyweightEmblem
glove   |              |                |                  |                     |                      |                  |                   | PBEThiefsGloves   | PBELuchadorEmblem       | PBEExecutionerEmblem
spatula |              |                |                  |                     |                      |                  |                   |                   | PBEForceofNature        | PBETacticiansCape   
pan     |              |                |                  |                     |                      |                  |                   |                   |                         | PBETacticiansShield 
