Origins\Classes | Assassin       | Blademaster | Brawler          | Elementalist     | Guardian | Gunslinger                    | Knight      | Ranger  | Shapeshifter | Sorcerer    
Demon           | Evelynn        | Aatrox      |                  | Brand            |          |                               |             | Varus   | Elise/Swain  | Morgana     
Dragon          |                |             |                  |                  | Pantheon |                               |             |         | Shyvana      | Aurelion Sol
Glacial         |                |             | Volibear         | Anivia/Lissandra | Braum    |                               | Sejuani     | Ashe    |              |             
Hextech         |                | Camille     | Vi               |                  |          | Jinx                          |             |         | Jayce        |             
Imperial        | Katarina       | Draven      |                  |                  |          |                               | Darius      |         | Swain        |             
Ninja           | Akali/Zed      | Shen        |                  | Kennen           |          |                               |             |         |              |             
Noble           |                | Fiora       |                  |                  | Leona    | Lucian                        | Garen/Kayle | Vayne   |              |             
Phantom         |                |             |                  |                  |          |                               | Mordekaiser | Kindred |              | Karthus     
Pirate          | Pyke           | Gangplank   |                  |                  |          | Gangplank/Graves/Miss Fortune |             |         |              | Twisted Fate
Void            | Kai'Sa/Kha'Zix |             | Cho'Gath/Rek'Sai |                  |          |                               |             | Kai'Sa  |              | Kassadin    
Wild            | Rengar         |             | Warwick          |                  |          |                               |             |         | Gnar/Nidalee | Ahri        
Yordle          |                |             |                  | Kennen           |          | Tristana                      | Poppy       |         | Gnar         | Lulu/Veigar 
