Origins\Classes | Assassin | Bruiser      | Cannoneer | Cavalier | Dragonmancer | Dragon       | Evoker       | Guardian   | Mage         | Mystic    | Shapeshifter | Swiftshot | Warrior   
Astral          |          | Skarner      |           |          |              | Aurelion Sol | Aurelion Sol |            | Lux/Vladimir |           | Nidalee      | Varus     |           
Darkflight      | Rengar   |              | Aphelios  | Rell     |              | Tyrant Swain |              |            |              |           |              |           |           
Guild           |          |              |           | Sejuani  |              | Zippy        |              |            |              | Bard      | Jayce        | Twitch    |           
Jade            |          | Jax          |           |          | Karma        | Shi Oh Yu    |              |            |              | Shi Oh Yu | Gnar         |           | Wukong    
Lagoon          | Nilah    | Malphite     | Zeri      |          | Kai'sa       | Sohm         | Seraphine    | Zac        | Sohm/Taliyah | Seraphine |              |           |           
Mirage          |          |              |           | Nunu     | Yasuo        | Daeja        |              | Leona      |              |           |              |           | Yasuo/Yone
Monolith        |          |              |           |          |              | Terra        |              |            |              |           |              |           |           
Prodigy         |          |              |           |          |              | Nomsy        |              |            |              |           |              |           |           
Ragewing        |          |              | Senna     | Hecarim  | Sett         | Shyvana      |              | Rakan      |              | Rakan     | Shyvana      | Xayah     |           
Scalescorn      | Diana    | Olaf         |           | Lillia   |              |              |              | Braum      | Lillia       |           |              |           | Olaf      
Shimmerscale    |          | Jax          |           |          | Volibear     | Idas         |              | Idas/Nasus | Zoe          |           |              |           |           
Tempest         | Qiyana   |              | Graves    |          | Lee Sin      | Ao Shin      |              |            |              |           |              | Ezreal    |           
Whispers        |          | Sy'fen/Sylas |           |          |              | Sy'fen       | Zyra         |            | Sylas        |           |              |           | Pantheon  
