{{origin_name}} | {{unit_active}} | {{unit_count}} | {{emblem}}                 | {{desc}}
Bilgewater      | 3/5/7/9         | 7              | NegatronCloak+Spatula      |         
Darkin          | 1/2             | 2              |                            |         
Demacia         | 3/5/7/9         | 7              |                            |         
Freljord        | 2/3             | 2              |                            |         
Ionia           | 3/6/9           | 7              | BFSword+Spatula            |         
Ixtal           | 2/3/4           | 3              |                            |         
Noxus           | 3/5/7/9         | 7              | GiantsBelt+Spatula         |         
Piltover        | 3/6             | 5              |                            |         
Shurima         | 2/4/6/9         | 7              | NeedlesslyLargeRod+Spatula |         
Targon          | 2/3/4           | 3              |                            |         
Void            | 3/6/8           | 6              |                            |         
Zaun            | 2/4/6           | 4              |                            |         

{{class_name}} | {{unit_active}} | {{unit_count}} | {{emblem}}               | {{desc}}
Bastion        | 2/4/6/8         | 7              |                          |         
Bruiser        | 2/3/4/6         | 5              |                          |         
Challenger     | 2/4/6/8         | 6              | RecurveBow+Spatula       |         
Gunner         | 2/4/6           | 5              |                          |         
Invoker        | 2/4/6/8         | 19             |                          |         
Juggernaut     | 2/4/6           | 6              | ChainVest+Spatula        |         
Multicaster    | 2/3/4           | 4              |                          |         
Rogue          | 2/4             | 4              |                          |         
Slayer         | 2/4/6           | 5              |                          |         
Sorcerer       | 2/4/6/8         | 7              | Tearofthegoddess+Spatula |         
Strategist     | 2/3/4/5         | 4              |                          |         
Vanquisher     | 2/4/6           | 5              | Spatula+SparringGloves   |         
