{{origin_name}} | {{unit_active}} | {{unit_count}} | {{emblem}} | {{desc}}
Abomination     | 3/4/5           | 4              |            |         
Dawnbringer     | 2/4/6/8         | 7              |            |         
Draconic        | 3/5             | 6              |            |         
Forgotten       | 2/4/6/8         | 6              |            |         
Hellion         | 2/4/6/8         | 7              |            |         
Ironclad        | 2/3/4           | 3              |            |         
Nightbringer    | 2/4/6/8         | 6              |            |         
Redeemed        | 3/6/9           | 8              |            |         
Revenant        | 2/3/4/5         | 4              |            |         
Sentinel        | 3/6/9           | 8              |            |         

{{class_name}} | {{unit_active}} | {{unit_count}} | {{emblem}} | {{desc}}
Assassin       | 2/4/6           | 5              |            |         
Brawler        | 2/4/6           | 5              |            |         
Cannoneer      | 2/4/6           | 4              |            |         
Cavalier       | 2/3/4           | 4              |            |         
Invoker        | 2/4             | 4              |            |         
Knight         | 2/4/6           | 6              |            |         
Legionnaire    | 2/4/6/8         | 7              |            |         
Mystic         | 2/3/4/5         | 4              |            |         
Ranger         | 2/4/6           | 5              |            |         
Renewer        | 2/4/6           | 5              |            |         
Skirmisher     | 3/6/9           | 8              |            |         
Spellweaver    | 2/4/6           | 4              |            |         
