C1\C2   | sword     | bow         | vest          | cloak            | rod               | tear          | belt           | glove          | spatula          | pan               
sword   | LordsEdge | GiantSlayer | GuardianAngel | Bloodthirster    | HextechGunblade   | SpearofShojin | SteraksGage    | InfinityEdge   | ConquerorEmblem  | ArtilleristEmblem 
bow     |           | RedBuffItem | TitansResolve | RunaansHurricane | GuinsoosRageblade | StatikkShiv   | NashorsTooth   | LastWhisper    | RebelEmblem      | QuickstrikerEmblem
vest    |           |             | BrambleVest   | IronWill         | Crownguard        | Fimbulwinter  | SunfireCape    | SteadfastHeart | EnforcerEmblem   | SentinelEmblem    
cloak   |           |             |               | DragonsClaw      | IonicSpark        | AdaptiveHelm  | Evenshroud     | Quicksilver    | AutomataEmblem   | PitFighterEmblem  
rod     |           |             |               |                  | RabadonsDeathcap  | LudensEcho    | Morellonomicon | ArcaneGauntlet | BlackRoseEmblem  | SorcererEmblem    
tear    |           |             |               |                  |                   | BlueSentinel  | Redemption     | HandofJustice  | FamilyEmblem     | VisionaryEmblem   
belt    |           |             |               |                  |                   |               | WarmogsArmor   | Guardbreaker   | ExperimentEmblem | BruiserEmblem     
glove   |           |             |               |                  |                   |               |                | ThiefsGloves   | FirelightEmblem  | AmbusherEmblem    
spatula |           |             |               |                  |                   |               |                |                | ForceofNature    | TacticiansCape    
pan     |           |             |               |                  |                   |               |                |                |                  | TacticiansShield  
