C1\C2   | sword     | bow         | vest          | cloak            | rod               | tear          | belt           | glove          | spatula              | pan              
sword   | LordsEdge | GiantSlayer | GuardianAngel | Bloodthirster    | HextechGunblade   | SpearofShojin | SteraksGage    | InfinityEdge   | SoulFighterEmblem    | EdgelordEmblem   
bow     |           | RedBuffItem | TitansResolve | RunaansHurricane | GuinsoosRageblade | VoidStaff     | NashorsTooth   | LastWhisper    | SupremeCellsEmblem   | DuelistEmblem    
vest    |           |             | BrambleVest   | IronWill         | Crownguard        | Fimbulwinter  | SunfireCape    | SteadfastHeart | WraithEmblem         | BastionEmblem    
cloak   |           |             |               | DragonsClaw      | IonicSpark        | AdaptiveHelm  | Evenshroud     | Quicksilver    | StrategistEmblem     | JuggernautEmblem 
rod     |           |             |               |                  | RabadonsDeathcap  | LudensEcho    | Morellonomicon | ArcaneGauntlet | StarGuardianEmblem   | SorcererEmblem   
tear    |           |             |               |                  |                   | BlueSentinel  | Redemption     | HandofJustice  | BattleAcademiaEmblem | ProdigyEmblem    
belt    |           |             |               |                  |                   |               | WarmogsArmor   | Guardbreaker   | CrystalGambitEmblem  | HeavyweightEmblem
glove   |           |             |               |                  |                   |               |                | ThiefsGloves   | LuchadorEmblem       | ExecutionerEmblem
spatula |           |             |               |                  |                   |               |                |                |                      |                  
pan     |           |             |               |                  |                   |               |                |                |                      |                  
