C1\C2     | sword     | bow             | vest          | cloak            | rod                   | tear          | belt           | glove          | spatula           | s-sword          | s-bow            | s-vest                 | s-cloak                | s-rod                  | s-tear              | s-belt             | s-glove                 | s-spatula              
sword     | LordsEdge | GiantSlayer     | GuardianAngel | Bloodthirster    | HextechGunblade       | SpearofShojin | ZekesHerald    | InfinityEdge   | SwordoftheDivine  | CursedDeathblade | EvilGiantSlayer  | GuardianFallenAngel    | Riskthirster           | CursedHextechGunblade  | CursedSpearofShojin | ZekesEvilHerald    | CursedInfinityEdge      | ShadowSwordoftheDivine 
bow       |           | RapidFirecannon | TitansResolve | RunaansHurricane | GuinsoosRageblade     | StatikkShiv   | ZzRotPortal    | LastWhisper    | DuelistsZeal      |                  | RapidDeathcannon | TitansExplosiveResolve | RunaansEvilHurricane   | GuinsoosEvilRageblade  | EvilStatikkShiv     | ZzRotDarkPortal    | FinalWhisper            | ShadowDuelistsZeal     
vest      |           |                 | BrambleVest   | IronWill         | LocketoftheIronSolari | FrozenHeart   | SunfireCape    | Shroud         | VanguardsCuirass  |                  |                  | VillainsBrambleVest    | EvilGargoyleStoneplate |                        |                     | EclipseCape        | DarkShroudofStillness   | ShadowVanguardsCuirass 
cloak     |           |                 |               | DragonsClaw      | IonicSpark            | Chalice       | Zephyr         | Quicksilver    | ElderwoodHeirloom |                  |                  |                        | DarkDragonsClaw        |                        |                     | ExplosiveZephyr    | EvilQuicksilver         | ShadowElderwoodHeirloom
rod       |           |                 |               |                  | RabadonsDeathcap      | LudensEcho    | Morellonomicon | ArcaneGauntlet | MantleofDusk      |                  |                  | LocketoftheDarkSolari  | IonicDarkSpark         | RabadonsCursedDeathcap | ArchdemonsStaff     | Morevillonomicon   | PoisonedGauntlet        | ShadowMantleofDusk     
tear      |           |                 |               |                  |                       | BlueSentinel  | Redemption     | HandofJustice  | MagesCap          |                  |                  | FrozenDarkHeart        | ChaliceofMalice        |                        | VeryDarkBlueBuff    | LackofRedemption   | HandofVengence          | ShadowMagesCap         
belt      |           |                 |               |                  |                       |               | WarmogsArmor   | Backhand       | WarlordsBanner    |                  |                  |                        |                        |                        |                     | WarmogsPoisonArmor | ExplosiveTrapClaw       | ShadowWarlordsBanner   
glove     |           |                 |               |                  |                       |               |                | ThiefsGloves   | YoumuusGhostblade |                  |                  |                        |                        |                        |                     |                    | CursedThiefsGlove       |                        
spatula   |           |                 |               |                  |                       |               |                |                | ForceofNature     |                  |                  |                        |                        |                        |                     |                    | ShadowYoumuusGhostblade | ForceofDarkness        
s-sword   |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-bow     |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-vest    |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-cloak   |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-rod     |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-tear    |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-belt    |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-glove   |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
s-spatula |           |                 |               |                  |                       |               |                |                |                   |                  |                  |                        |                        |                        |                     |                    |                         |                        
