val-template                   name                      example-val                        example-name                  example-icon
Gold:$cnt                      Gold                      Gold:15                            15 Gold                       15 * ![gold]()
Champion:$star:$cost:$cnt      Champion                  Champion:2:1:2                     2 * 2Star 1Cost Unit          2 * ![unit-star]() ![unit-cost]()
Champions:$star:$key:$cnt      Champions                 Champions:2:Zyra:2                 2 * 2Star Zyra                2 * ![Zyra](tftchampions/icon/set15/Zyra.jpg)
Component:$cnt                 Component                 Component:3                        3 * Component                 3 * ![component]()
ComponentAnvil:$cnt            Component Anvil           ComponentAnvil:2                   2 * Component Anvil           2 * ![component-anvil]()
Item:$cnt                      Item                      Item:5                             5 * Item                      5 * ![item]()
ItemAnvil:$cnt                 Item Anvil                ItemAnvil:3                        3 * Item Anvil                3 * ![item-anvil]()
Artifact:$cnt                  Artifact                  Artifact:4                         4 * Artifact                  4 * ![artifact]
ArtifactAnvil:$cnt             Artifact Anvil            ArtifactAnvil:1                    Artifact Anvil                ![artifact-anvil]()
SupportAnvil:$cnt              Support Anvil             SupportAnvil:2                     2 * Support Anvil             2 * ![support-anvil]()
RadiantItem:$cnt               Radiant Item              RadiantItem:1                      Radiant Item                  ![radiant]()
Items:Components:$key:$cnt     Components                Items:Components:Spatula:4         4 * Spatula                   4 * ![spatula](tftitems/icon/set15/Components/Spatula.png)
Items:Craftable:$key:$cnt      Craftable                 Items:Craftable:WarmogsArmor:2     2 * WarmogsArmor              2 * ![WarmogsArmor](tftitems/icon/set15/Craftable/WarmogsArmor.png)
Items:Artifacts:$key:$cnt      Artifacts                 Items:Artifacts:Dawncore:1         Dawncore                      ![Dawncore](tftitems/icon/set15/Artifacts/Dawncore.png)
Items:Radiant:$key:$cnt        Radiant                   Items:Radiant:CrownguardRadiant:1  CrownguardRadiant             ![CrownguardRadiant](tftitems/icon/set15/Radiant/CrownguardRadiant.png)
Items:Emblems:$key:$cnt        Emblems                   Items:Emblems:BastionEmblem:1      BastionEmblem                 ![BastionEmblem](tftitems/icon/set15/Emblems/BastionEmblem.png)
Items:Crown:$key:$cnt          Crown                     Items:Crown:TacticiansCape:2       2 * TacticiansCape            2 * ![TacticiansCape](tftitems/icon/set15/Crown/TacticiansCape.png)
Items:Support:$key:$cnt        Support                   Items:Support:Chalice:2            2 * Chalice                   2 * ![Chalice](tftitems/icon/set15/Support/Chalice.png)
component_double               Double All Component      component_double                   component_double              ![component_double]()
lucky_chest:$cnt               lucky_chest               lucky_chest:3                      3 * lucky_chest               3 * ![lucky_chest]()
radiant_lucky_chest:$cnt       radiant_lucky_chest       radiant_lucky_chest:1              radiant_lucky_chest           ![radiant_lucky_chest]()
masterwork_upgrade:$cnt        masterwork_upgrade        masterwork_upgrade:2               2 * masterwork_upgrade        2 * ![masterwork_upgrade]()
radiant_conversion             radiant_conversion        radiant_conversion                 radiant_conversion            ![radiant_conversion]()
TomeofTraits:$cnt              Tome of Traits            TomeofTraits:1                     Tome of Traits                ![TomeofTraits]()
LesserChampionDuplicator:$cnt  LesserChampionDuplicator  LesserChampionDuplicator:2         2 * LesserChampionDuplicator  2 * ![LesserChampionDuplicator]()
ChampionDuplicator:$cnt        ChampionDuplicator        ChampionDuplicator:1               ChampionDuplicator            ![ChampionDuplicator]()
MagneticRemover:$cnt           Remover                   MagneticRemover:1                  Remover                       ![Remover]()
GoldenRemover                  Golden Remover            GoldenRemover                      Golden Remover                ![GoldenRemover]()
Reforger:$cnt                  Reforger                  Reforger:1                         Reforger                      ![Reforger]()
synergy_add                    All Traits +1             synergy_add                        All Traits +1                 ![synergy_add]()
Dummy:$cnt                     Dummy                     Dummy:1                            Dummy                         ![Dummy]()
Reroll:$cnt                    Reroll                    Reroll:20                          20 * Reroll                   20 * ![Reroll]()
Orbs:$cnt                      Orbs, Bonus Orbs          Orbs:7                             7 * Orbs                      7 * ![Orbs]()
Orbs_Ball_1:$cnt               SilverOrbs                Orbs_Ball_1:2                      2 * Silver_Orbs               2 * ![Silver_Orbs]()
Orbs_Ball_2:$cnt               BlueOrbs                  Orbs_Ball_2:2                      2 * Blue_Orbs                 2 * ![Blue_Orbs]()
Orbs_Ball_3:$cnt               GoldOrbs                  Orbs_Ball_3:1                      Gold_Orbs                     ![Gold_Orbs]()
Orbs_Ball_4:$cnt               PrismaticOrbs             Orbs_Ball_4:1                      Prismatic_Orbs                ![Prismatic_Orbs]()
