Origins\Classes | Bastion     | Duelist   | Edgelord | Executioner | Heavyweight | Juggernaut   | Prodigy          | Protector | Sniper     | Sorcerer     | Strategist
Battle Academia | Garen/Leona |           |          | Katarina    | Jayce       |              | Ezreal/Yuumi     | Rakan     | Caitlyn    |              |           
Crystal Gambit  | Swain       | Ashe      |          |             |             | Vi           | Syndra           | Janna     |            | Swain        | Janna     
Luchador        | Braum       |           | Volibear |             |             | Dr. Mundo    |                  |           | Gnar       |              |           
Mentor          |             | Udyr      | Yasuo    | Ryze        | Kobuko      | Udyr         |                  |           |            |              | Ryze      
Mighty Mech     |             | Gangplank | Yone     | Senna       | Aatrox      | Aatrox       |                  |           |            | Karma/Lucian | Jarvan IV 
Soul Fighter    | Xin Zhao    | Viego     | Samira   | Kalista     |             | Naafiri/Sett |                  |           |            | Gwen/Lux     |           
Star Guardian   | Rell        |           | Xayah    |             | Poppy       |              | Seraphine/Syndra | Neeko     | Jinx       | Ahri         |           
Supreme Cells   |             | KaiSa     |          | Akali       | Darius      |              |                  | Kennen    |            | Kennen       |           
The Crew        | Shen        |           | Shen     |             |             |              |                  | Malphite  | Sivir      |              | Ziggs     
Wraith          |             | Kayle     |          |             | Zac         |              | Malzahar         | K'Sante   | Jhin/Varus |              |           
