Origins\Classes | Blademaster     | Blaster      | Brawler    | Demolitionist | Infiltrator | Mana-Reaver | Mystic | Protector      | Sniper  | Sorcerer        | Vanguard   
Celestial       | Xayah           |              |            |               |             | Kassadin    | Lulu   | Rakan/Xin Zhao | Ashe    |                 |            
Chrono          | Shen            | Ezreal       | Blitzcrank |               |             | Thresh      |        |                | Caitlyn | TwistedFate     | Wukong     
Cybernetic      | Fiora/Irelia    | Lucian       | Vi         |               | Ekko        | Irelia      |        |                |         |                 | Leona      
Dark Star       |                 |              |            |               | Shaco       |             | Karma  | Jarvan IV      | Jhin    | Lux/Xerath      | Mordekaiser
Mech-Pilot      |                 |              |            | Rumble        | Fizz        |             |        |                |         | Annie           |            
Rebel           | Master Yi/Yasuo | Jinx         | Malphite   | Ziggs         |             |             | Sona   |                |         |                 |            
Space Pirate    |                 | Graves       |            | Gangplank     |             | Darius      |        |                |         |                 | Jayce      
Star Guardian   |                 |              |            |               |             |             | Soraka | Neeko          |         | Ahri/Syndra/Zoe | Poppy      
Valkyrie        | Kayle           | Miss Fortune |            |               | Kai'Sa      |             |        |                |         |                 |            
Void            |                 |              | Cho'Gath   |               | Kha'Zix     |             |        |                |         | Vel'Koz         |            
