Origins\Classes | Assassin       | Brawler  | Cavalier | Invoker | Knight   | Legionnaire  | Mystic  | Ranger   | Renewer      | Skirmisher       | Spellweaver
Abomination     |                | Nunu     |          |         |          | Kalista      | Ryze    |          |              |                  | Brand      
Coven           | Leblanc        |          |          |         |          |              | Morgana |          | Lissandra    |                  |            
Dawnbringer     | Khazix         | Gragas   |          | Karma   | Garen    | Riven        |         |          | Soraka       | Nidalee          |            
Draconic        |                | Sett     |          |         |          |              |         | Ashe     | Heimerdinger | Udyr             | Zyra       
Dragonslayer    | Diana          |          |          |         |          | Mordekaiser  |         |          |              | Pantheon/Trundle |            
Forgotten       | Katarina/Viego | Warwick  | Hecarim  |         | Thresh   | Draven       | Ryze    | Vayne    |              | Viego            | Viktor     
Hellion         |                |          | Kled     | Teemo   | Poppy    |              | Lulu    |          |              | Kennen           | Ziggs      
Ironclad        |                |          | Rell     |         | Nautilus |              |         |          |              | Jax              |            
Nightbringer    | Diana          |          | Sejuani  |         | Darius   | Yasuo        | Morgana | Aphelios | Vladimir     | LeeSin           |            
Redeemed        |                |          | Rell     | Syndra  | Leona    | Aatrox/Kayle | Lux     | Varus    |              |                  | Velkoz     
Revenant        | Nocturne       | Volibear |          | Ivern   |          |              |         |          | Ivern        |                  |            
Verdant         |                |          |          |         | Taric    | Kayle        |         | Ashe     |              |                  |            
